Transaction ID,Transaction Date,Product Key,Quantity,Unit Price,Total Sales
TXN-05-0041,2026-05-05,SanDisk Extreme Portable SSD 1TB,1,10263.96,10263.96
TXN-05-0042,2026-05-19,Belkin USB-C 7-in-1 Hub,16,6646.99,106351.84
TXN-05-0043,2026-05-18,Dell P2425H Monitor,8,18937.41,151499.28
TXN-05-0044,2026-05-31,Dell P2425H Monitor,20,19856.22,397124.4
TXN-05-0045,2026-05-10,TP-Link UE300 Ethernet Adapter,3,1187.17,3561.51
TXN-05-0046,2026-05-30,Dell P2425H Monitor,5,19645.2,98226.0
TXN-05-0047,2026-05-10,Belkin USB-C 7-in-1 Hub,17,6430.4,109316.8
TXN-05-0048,2026-05-17,Dell P2425H Monitor,7,18716.31,131014.17
TXN-05-0049,2026-05-13,Logitech K380 Keyboard,3,3121.4,9364.2
TXN-05-0050,2026-05-21,SanDisk Extreme Portable SSD 1TB,12,11046.47,132557.64
TXN-05-0051,2026-05-01,Logitech MX Master 3S,17,8973.11,152542.87
TXN-05-0052,2026-05-15,Kingston DataTraveler 64GB,11,733.72,8070.92
TXN-05-0053,2026-05-31,Microsoft LifeCam HD-3000,15,3529.07,52936.05
TXN-05-0054,2026-05-05,Dell P2425H Monitor,19,19043.72,361830.68
TXN-05-0055,2026-05-20,Jabra Evolve2 40 Headset,11,12437.23,136809.53
TXN-05-0056,2026-05-22,HP E24 G5 Monitor,3,21621.17,64863.51
TXN-05-0057,2026-05-07,Logitech MX Master 3S,6,8507.91,51047.46
TXN-05-0058,2026-05-30,TP-Link UE300 Ethernet Adapter,2,1192.07,2384.14
TXN-05-0059,2026-05-16,HP E24 G5 Monitor,1,20542.23,20542.23
TXN-05-0060,2026-05-07,TP-Link UE300 Ethernet Adapter,17,1255.78,21348.26
TXN-05-0061,2026-05-06,Dell P2425H Monitor,6,18748.15,112488.9
TXN-05-0062,2026-05-18,Jabra Evolve2 40 Headset,14,13051.02,182714.28
TXN-05-0063,2026-05-10,Jabra Evolve2 40 Headset,6,12265.12,73590.72
TXN-05-0064,2026-05-15,Kingston DataTraveler 64GB,16,740.88,11854.08
TXN-05-0065,2026-05-10,Jabra Evolve2 40 Headset,15,12014.48,180217.2
TXN-05-0066,2026-05-16,TP-Link UE300 Ethernet Adapter,15,1144.34,17165.1
TXN-05-0067,2026-05-26,TP-Link UE300 Ethernet Adapter,9,1244.49,11200.41
TXN-05-0068,2026-05-08,HP E24 G5 Monitor,1,22669.42,22669.42
TXN-05-0069,2026-05-21,Microsoft LifeCam HD-3000,11,3460.37,38064.07
TXN-05-0070,2026-05-31,Dell P2425H Monitor,1,18661.46,18661.46
TXN-05-0071,2026-05-12,Dell P2425H Monitor,18,19425.7,349662.6
TXN-05-0072,2026-05-07,TP-Link UE300 Ethernet Adapter,4,1216.38,4865.52
TXN-05-0073,2026-05-18,Kingston DataTraveler 64GB,19,718.37,13649.03
TXN-05-0074,2026-05-10,Belkin USB-C 7-in-1 Hub,19,6318.15,120044.85
TXN-05-0075,2026-05-05,TP-Link UE300 Ethernet Adapter,4,1239.51,4958.04
TXN-05-0076,2026-05-31,Logitech K380 Keyboard,14,3168.86,44364.04
TXN-05-0077,2026-05-25,Logitech MX Master 3S,12,9239.12,110869.44
TXN-05-0078,2026-05-21,Dell P2425H Monitor,4,19014.11,76056.44
TXN-05-0079,2026-05-19,Kingston DataTraveler 64GB,3,681.47,2044.41
TXN-05-0080,2026-05-06,SanDisk Extreme Portable SSD 1TB,9,10191.75,91725.75
TXN-05-0081,2026-05-14,Logitech MX Master 3S,9,8906.7,80160.3
TXN-05-0082,2026-05-02,Logitech MX Master 3S,4,8713.08,34852.32
TXN-05-0083,2026-05-04,Kingston DataTraveler 64GB,4,714.59,2858.36
TXN-05-0084,2026-05-30,Belkin USB-C 7-in-1 Hub,12,6354.7,76256.4
TXN-05-0085,2026-05-20,Microsoft LifeCam HD-3000,20,3305.02,66100.4
TXN-05-0086,2026-05-11,Jabra Evolve2 40 Headset,20,12072.49,241449.8
TXN-05-0087,2026-05-14,Microsoft LifeCam HD-3000,4,3577.29,14309.16
TXN-05-0088,2026-05-22,TP-Link UE300 Ethernet Adapter,9,1183.04,10647.36
TXN-05-0089,2026-05-02,SanDisk Extreme Portable SSD 1TB,14,10975.76,153660.64
TXN-05-0090,2026-05-23,Kingston DataTraveler 64GB,11,681.35,7494.85
TXN-05-0091,2026-05-10,Logitech K380 Keyboard,14,3227.3,45182.2
TXN-05-0092,2026-05-18,Logitech MX Master 3S,11,8672.28,95395.08
TXN-05-0093,2026-05-24,Logitech MX Master 3S,4,8634.13,34536.52
TXN-05-0094,2026-05-04,Logitech K380 Keyboard,2,3150.81,6301.62
TXN-05-0095,2026-05-20,SanDisk Extreme Portable SSD 1TB,10,9905.34,99053.4
TXN-05-0096,2026-05-05,Belkin USB-C 7-in-1 Hub,12,6432.94,77195.28
TXN-05-0097,2026-05-08,Jabra Evolve2 40 Headset,14,12742.87,178400.18
TXN-05-0098,2026-05-06,Dell P2425H Monitor,18,17923.85,322629.3
TXN-05-0099,2026-05-22,TP-Link UE300 Ethernet Adapter,18,1184.16,21314.88
TXN-05-0100,2026-05-26,Kingston DataTraveler 64GB,5,676.21,3381.05
TXN-05-0101,2026-05-09,Logitech MX Master 3S,18,8976.15,161570.7
TXN-05-0102,2026-05-31,Kingston DataTraveler 64GB,11,668.69,7355.59
TXN-05-0103,2026-05-03,Belkin USB-C 7-in-1 Hub,6,6540.32,39241.92
TXN-05-0104,2026-05-27,TP-Link UE300 Ethernet Adapter,9,1176.08,10584.72
TXN-05-0105,2026-05-25,TP-Link UE300 Ethernet Adapter,11,1135.15,12486.65
TXN-05-0106,2026-05-21,Logitech MX Master 3S,8,8967.19,71737.52
TXN-05-0107,2026-05-22,HP E24 G5 Monitor,17,22433.19,381364.23
TXN-05-0108,2026-05-23,Jabra Evolve2 40 Headset,12,13175.45,158105.4
TXN-05-0109,2026-05-18,HP E24 G5 Monitor,9,21095.73,189861.57
TXN-05-0110,2026-05-12,HP E24 G5 Monitor,12,21393.92,256727.04
TXN-05-0111,2026-05-18,Microsoft LifeCam HD-3000,16,3665.7,58651.2
TXN-05-0112,2026-05-10,Belkin USB-C 7-in-1 Hub,7,6232.51,43627.57
TXN-05-0113,2026-05-05,Jabra Evolve2 40 Headset,16,13089.65,209434.4
TXN-05-0114,2026-05-27,SanDisk Extreme Portable SSD 1TB,17,10753.93,182816.81
TXN-05-0115,2026-05-21,Logitech MX Master 3S,6,8549.99,51299.94
TXN-05-0116,2026-05-18,SanDisk Extreme Portable SSD 1TB,9,10042.87,90385.83
TXN-05-0117,2026-05-29,Logitech K380 Keyboard,1,3312.23,3312.23
TXN-05-0118,2026-05-10,Belkin USB-C 7-in-1 Hub,19,6143.88,116733.72
TXN-05-0119,2026-05-13,Jabra Evolve2 40 Headset,18,13193.66,237485.88
TXN-05-0120,2026-05-26,TP-Link UE300 Ethernet Adapter,6,1265.93,7595.58
TXN-05-0121,2026-05-03,Logitech K380 Keyboard,5,3391.07,16955.35
TXN-05-0122,2026-05-18,SanDisk Extreme Portable SSD 1TB,9,10260.15,92341.35
TXN-05-0123,2026-05-22,Belkin USB-C 7-in-1 Hub,7,6235.56,43648.92
TXN-05-0124,2026-05-10,Kingston DataTraveler 64GB,18,681.01,12258.18
TXN-05-0125,2026-05-13,Dell P2425H Monitor,7,20084.49,140591.43
TXN-05-0126,2026-05-28,Logitech MX Master 3S,20,9158.59,183171.8
TXN-05-0127,2026-05-12,Jabra Evolve2 40 Headset,18,12005.37,216096.66
TXN-05-0128,2026-05-01,TP-Link UE300 Ethernet Adapter,6,1172.34,7034.04
TXN-05-0129,2026-05-06,Dell P2425H Monitor,1,19881.75,19881.75
TXN-05-0130,2026-05-22,TP-Link UE300 Ethernet Adapter,1,1248.19,1248.19
TXN-05-0131,2026-05-12,Logitech K380 Keyboard,10,3186.65,31866.5
TXN-05-0132,2026-05-20,Dell P2425H Monitor,20,18424.82,368496.4
TXN-05-0133,2026-05-11,Logitech K380 Keyboard,16,3143.57,50297.12
TXN-05-0134,2026-05-13,Logitech K380 Keyboard,9,3345.3,30107.7
TXN-05-0135,2026-05-12,Logitech K380 Keyboard,16,3461.11,55377.76
TXN-05-0136,2026-05-18,Logitech K380 Keyboard,17,3198.85,54380.45
TXN-05-0137,2026-05-22,SanDisk Extreme Portable SSD 1TB,15,11025.24,165378.6
TXN-05-0138,2026-05-03,SanDisk Extreme Portable SSD 1TB,3,10850.56,32551.68
TXN-05-0139,2026-05-26,Logitech K380 Keyboard,16,3409.04,54544.64
TXN-05-0140,2026-05-25,Kingston DataTraveler 64GB,8,671.18,5369.44
TXN-05-0141,2026-05-17,Jabra Evolve2 40 Headset,18,12246.59,220438.62
TXN-05-0142,2026-05-13,Microsoft LifeCam HD-3000,11,3363.27,36995.97
TXN-05-0143,2026-05-08,Microsoft LifeCam HD-3000,12,3607.68,43292.16
TXN-05-0144,2026-05-14,SanDisk Extreme Portable SSD 1TB,19,10349.87,196647.53
TXN-05-0145,2026-05-15,Dell P2425H Monitor,19,19356.58,367775.02
TXN-05-0146,2026-05-14,Dell P2425H Monitor,9,18609.08,167481.72
TXN-05-0147,2026-05-11,Logitech K380 Keyboard,9,3434.07,30906.63
TXN-05-0148,2026-05-09,Microsoft LifeCam HD-3000,5,3517.94,17589.7
TXN-05-0149,2026-05-08,Kingston DataTraveler 64GB,11,738.61,8124.71
TXN-05-0150,2026-05-25,TP-Link UE300 Ethernet Adapter,4,1165.61,4662.44
TXN-05-0151,2026-05-15,Belkin USB-C 7-in-1 Hub,13,6420.58,83467.54
TXN-05-0152,2026-05-23,TP-Link UE300 Ethernet Adapter,11,1224.05,13464.55
TXN-05-0153,2026-05-04,SanDisk Extreme Portable SSD 1TB,16,11013.71,176219.36
TXN-05-0154,2026-05-17,TP-Link UE300 Ethernet Adapter,7,1188.13,8316.91
TXN-05-0155,2026-05-02,SanDisk Extreme Portable SSD 1TB,13,10781.76,140162.88
TXN-05-0156,2026-05-09,Logitech MX Master 3S,18,9216.8,165902.4
TXN-05-0157,2026-05-11,Dell P2425H Monitor,19,19328.14,367234.66
TXN-05-0158,2026-05-27,Jabra Evolve2 40 Headset,16,13025.95,208415.2
TXN-05-0159,2026-05-11,Microsoft LifeCam HD-3000,1,3304.8,3304.8
TXN-05-0160,2026-05-21,HP E24 G5 Monitor,4,21913.53,87654.12
TXN-05-0161,2026-05-11,Kingston DataTraveler 64GB,1,722.47,722.47
TXN-05-0162,2026-05-17,Microsoft LifeCam HD-3000,9,3550.57,31955.13
TXN-05-0163,2026-05-03,SanDisk Extreme Portable SSD 1TB,18,10741.44,193345.92
TXN-05-0164,2026-05-25,TP-Link UE300 Ethernet Adapter,1,1268.43,1268.43
TXN-05-0165,2026-05-11,Dell P2425H Monitor,8,20009.19,160073.52
TXN-05-0166,2026-05-20,HP E24 G5 Monitor,6,22029.21,132175.26
TXN-05-0167,2026-05-19,Logitech K380 Keyboard,14,3382.86,47360.04
TXN-05-0168,2026-05-18,Belkin USB-C 7-in-1 Hub,5,6193.33,30966.65
TXN-05-0169,2026-05-31,Kingston DataTraveler 64GB,14,660.79,9251.06
TXN-05-0170,2026-05-24,TP-Link UE300 Ethernet Adapter,17,1269.29,21577.93
TXN-05-0171,2026-05-22,Microsoft LifeCam HD-3000,11,3433.31,37766.41
TXN-05-0172,2026-05-20,SanDisk Extreme Portable SSD 1TB,16,10190.77,163052.32
TXN-05-0173,2026-05-27,SanDisk Extreme Portable SSD 1TB,9,9915.32,89237.88
TXN-05-0174,2026-05-05,Microsoft LifeCam HD-3000,1,3490.89,3490.89
TXN-05-0175,2026-05-09,SanDisk Extreme Portable SSD 1TB,15,10119.44,151791.6
TXN-05-0176,2026-05-17,Kingston DataTraveler 64GB,13,682.57,8873.41
TXN-05-0177,2026-05-02,Belkin USB-C 7-in-1 Hub,14,6782.04,94948.56
TXN-05-0178,2026-05-22,TP-Link UE300 Ethernet Adapter,18,1237.25,22270.5
TXN-05-0179,2026-05-16,Kingston DataTraveler 64GB,20,664.67,13293.4
TXN-05-0180,2026-05-17,TP-Link UE300 Ethernet Adapter,20,1173.84,23476.8
TXN-05-0181,2026-05-22,SanDisk Extreme Portable SSD 1TB,11,10322.72,113549.92
TXN-05-0182,2026-05-18,Logitech K380 Keyboard,6,3401.66,20409.96
TXN-05-0183,2026-05-17,TP-Link UE300 Ethernet Adapter,13,1217.78,15831.14
TXN-05-0184,2026-05-07,Belkin USB-C 7-in-1 Hub,1,6470.78,6470.78
TXN-05-0185,2026-05-14,HP E24 G5 Monitor,17,22416.11,381073.87
TXN-05-0186,2026-05-17,Dell P2425H Monitor,7,19664.0,137648.0
TXN-05-0187,2026-05-25,Kingston DataTraveler 64GB,16,668.53,10696.48
TXN-05-0188,2026-05-12,SanDisk Extreme Portable SSD 1TB,13,10540.2,137022.6
TXN-05-0189,2026-05-07,TP-Link UE300 Ethernet Adapter,5,1214.36,6071.8
TXN-05-0190,2026-05-24,Dell P2425H Monitor,5,18158.31,90791.55
TXN-05-0191,2026-05-02,Belkin USB-C 7-in-1 Hub,2,6327.71,12655.42
TXN-05-0192,2026-05-31,Kingston DataTraveler 64GB,6,668.74,4012.44
TXN-05-0193,2026-05-23,TP-Link UE300 Ethernet Adapter,12,1145.48,13745.76
TXN-05-0194,2026-05-06,Dell P2425H Monitor,2,19572.07,39144.14
TXN-05-0195,2026-05-14,Dell P2425H Monitor,20,18975.61,379512.2
TXN-05-0196,2026-05-31,TP-Link UE300 Ethernet Adapter,1,1170.32,1170.32
TXN-05-0197,2026-05-12,TP-Link UE300 Ethernet Adapter,18,1140.3,20525.4
TXN-05-0198,2026-05-05,Jabra Evolve2 40 Headset,11,11967.51,131642.61
TXN-05-0199,2026-05-02,TP-Link UE300 Ethernet Adapter,16,1128.15,18050.4
TXN-05-0200,2026-05-12,Logitech K380 Keyboard,19,3435.12,65267.28
TXN-05-0201,2026-05-11,Kingston DataTraveler 64GB,1,670.8,670.8
TXN-05-0202,2026-05-28,HP E24 G5 Monitor,3,21299.94,63899.82
TXN-05-0203,2026-05-07,Jabra Evolve2 40 Headset,6,12110.71,72664.26
TXN-05-0204,2026-05-07,Microsoft LifeCam HD-3000,12,3355.62,40267.44
TXN-05-0205,2026-05-24,Jabra Evolve2 40 Headset,14,12438.08,174133.12
TXN-05-0206,2026-05-23,SanDisk Extreme Portable SSD 1TB,7,11089.17,77624.19
TXN-05-0207,2026-05-30,Microsoft LifeCam HD-3000,18,3543.76,63787.68
TXN-05-0208,2026-05-29,Logitech K380 Keyboard,7,3393.64,23755.48
TXN-05-0209,2026-05-25,Logitech K380 Keyboard,3,3241.18,9723.54
TXN-05-0210,2026-05-23,Belkin USB-C 7-in-1 Hub,6,6198.86,37193.16
TXN-05-0211,2026-05-21,HP E24 G5 Monitor,14,20697.43,289764.02
TXN-05-0212,2026-05-01,Jabra Evolve2 40 Headset,18,13205.43,237697.74
TXN-05-0213,2026-05-10,Kingston DataTraveler 64GB,12,690.47,8285.64
TXN-05-0214,2026-05-17,Microsoft LifeCam HD-3000,15,3661.38,54920.7
TXN-05-0215,2026-05-16,SanDisk Extreme Portable SSD 1TB,5,10004.45,50022.25
TXN-05-0216,2026-05-18,Dell P2425H Monitor,8,20069.79,160558.32
TXN-05-0217,2026-05-13,Microsoft LifeCam HD-3000,20,3554.86,71097.2
TXN-05-0218,2026-05-30,Logitech MX Master 3S,18,8811.37,158604.66
TXN-05-0219,2026-05-31,Kingston DataTraveler 64GB,3,695.73,2087.19
TXN-05-0220,2026-05-18,SanDisk Extreme Portable SSD 1TB,17,10903.38,185357.46
TXN-05-0221,2026-05-27,Logitech K380 Keyboard,9,3218.54,28966.86
TXN-05-0222,2026-05-19,Logitech K380 Keyboard,2,3128.87,6257.74
TXN-05-0223,2026-05-19,Microsoft LifeCam HD-3000,4,3451.23,13804.92
TXN-05-0224,2026-05-31,Belkin USB-C 7-in-1 Hub,15,6587.39,98810.85
TXN-05-0225,2026-05-01,TP-Link UE300 Ethernet Adapter,5,1256.29,6281.45
TXN-05-0226,2026-05-01,Dell P2425H Monitor,4,18752.4,75009.6
TXN-05-0227,2026-05-18,Dell P2425H Monitor,9,17900.63,161105.67
TXN-05-0228,2026-05-24,Logitech MX Master 3S,3,9271.76,27815.28
TXN-05-0229,2026-05-04,TP-Link UE300 Ethernet Adapter,11,1230.26,13532.86
TXN-05-0230,2026-05-31,Kingston DataTraveler 64GB,16,677.36,10837.76
TXN-05-0231,2026-05-23,Microsoft LifeCam HD-3000,8,3457.03,27656.24
TXN-05-0232,2026-05-28,TP-Link UE300 Ethernet Adapter,11,1187.33,13060.63
TXN-05-0233,2026-05-08,Microsoft LifeCam HD-3000,20,3366.44,67328.8
TXN-05-0234,2026-05-25,HP E24 G5 Monitor,4,21726.99,86907.96
TXN-05-0235,2026-05-13,Belkin USB-C 7-in-1 Hub,16,6522.33,104357.28
TXN-05-0236,2026-05-31,Microsoft LifeCam HD-3000,7,3450.6,24154.2
TXN-05-0237,2026-05-17,Logitech MX Master 3S,15,9306.34,139595.1
TXN-05-0238,2026-05-08,Kingston DataTraveler 64GB,17,683.39,11617.63
TXN-05-0239,2026-05-28,Jabra Evolve2 40 Headset,19,11788.5,223981.5
TXN-05-0240,2026-05-28,Belkin USB-C 7-in-1 Hub,17,6238.8,106059.6
TXN-05-0241,2026-05-04,TP-Link UE300 Ethernet Adapter,19,1180.08,22421.52
TXN-05-0242,2026-05-19,HP E24 G5 Monitor,3,21640.02,64920.06
TXN-05-0243,2026-05-13,Microsoft LifeCam HD-3000,4,3625.69,14502.76
TXN-05-0244,2026-05-13,Jabra Evolve2 40 Headset,1,12115.5,12115.5
TXN-05-0245,2026-05-09,Logitech MX Master 3S,6,9025.7,54154.2
TXN-05-0246,2026-05-03,SanDisk Extreme Portable SSD 1TB,9,10080.25,90722.25
TXN-05-0247,2026-05-07,Logitech MX Master 3S,18,8583.99,154511.82
TXN-05-0248,2026-05-18,Microsoft LifeCam HD-3000,2,3438.4,6876.8
TXN-05-0249,2026-05-27,Microsoft LifeCam HD-3000,17,3553.79,60414.43
TXN-05-0250,2026-05-31,Logitech MX Master 3S,7,9161.45,64130.15
TXN-05-0251,2026-05-02,Microsoft LifeCam HD-3000,10,3327.31,33273.1
TXN-05-0252,2026-05-09,Logitech K380 Keyboard,7,3103.95,21727.65
TXN-05-0253,2026-05-21,Belkin USB-C 7-in-1 Hub,2,6476.68,12953.36
TXN-05-0254,2026-05-03,Kingston DataTraveler 64GB,18,671.12,12080.16
TXN-05-0255,2026-05-19,TP-Link UE300 Ethernet Adapter,18,1161.3,20903.4
TXN-05-0256,2026-05-18,Logitech MX Master 3S,12,8705.59,104467.08
TXN-05-0257,2026-05-15,Jabra Evolve2 40 Headset,3,12112.46,36337.38
TXN-05-0258,2026-05-14,Logitech MX Master 3S,13,9059.35,117771.55
TXN-05-0259,2026-05-22,Microsoft LifeCam HD-3000,20,3364.0,67280.0
TXN-05-0260,2026-05-06,HP E24 G5 Monitor,18,20723.39,373021.02
TXN-05-0261,2026-05-13,SanDisk Extreme Portable SSD 1TB,9,11108.24,99974.16
TXN-05-0262,2026-05-15,Dell P2425H Monitor,3,17902.25,53706.75
TXN-05-0263,2026-05-24,Logitech K380 Keyboard,5,3489.41,17447.05
TXN-05-0264,2026-05-28,Belkin USB-C 7-in-1 Hub,17,6716.56,114181.52
TXN-05-0265,2026-05-28,Microsoft LifeCam HD-3000,5,3577.4,17887.0
TXN-05-0266,2026-05-06,SanDisk Extreme Portable SSD 1TB,16,10562.14,168994.24
TXN-05-0267,2026-05-01,Dell P2425H Monitor,13,18063.31,234823.03
TXN-05-0268,2026-05-21,Microsoft LifeCam HD-3000,14,3570.73,49990.22
TXN-05-0269,2026-05-17,SanDisk Extreme Portable SSD 1TB,12,9973.91,119686.92
TXN-05-0270,2026-05-01,Belkin USB-C 7-in-1 Hub,9,6294.67,56652.03
TXN-05-0271,2026-05-29,Jabra Evolve2 40 Headset,8,13164.01,105312.08
TXN-05-0272,2026-05-22,Belkin USB-C 7-in-1 Hub,19,6639.5,126150.5
TXN-05-0273,2026-05-06,Belkin USB-C 7-in-1 Hub,10,6691.26,66912.6
TXN-05-0274,2026-05-01,Logitech MX Master 3S,11,9452.81,103980.91
TXN-05-0275,2026-05-23,Dell P2425H Monitor,15,19203.98,288059.7
TXN-05-0276,2026-05-22,HP E24 G5 Monitor,16,22145.24,354323.84
TXN-05-0277,2026-05-20,Dell P2425H Monitor,17,19985.61,339755.37
TXN-05-0278,2026-05-04,Microsoft LifeCam HD-3000,3,3342.46,10027.38
TXN-05-0279,2026-05-17,Belkin USB-C 7-in-1 Hub,10,6224.2,62242.0
TXN-05-0280,2026-05-01,Kingston DataTraveler 64GB,15,708.1,10621.5
TXN-05-0281,2026-05-13,Dell P2425H Monitor,1,18871.51,18871.51
TXN-05-0282,2026-05-04,Logitech K380 Keyboard,8,3430.41,27443.28
TXN-05-0283,2026-05-26,Microsoft LifeCam HD-3000,3,3644.18,10932.54
TXN-05-0284,2026-05-15,Kingston DataTraveler 64GB,15,718.12,10771.8
TXN-05-0285,2026-05-09,Kingston DataTraveler 64GB,15,719.1,10786.5
TXN-05-0286,2026-05-16,Jabra Evolve2 40 Headset,10,13038.96,130389.6
TXN-05-0287,2026-05-04,Dell P2425H Monitor,20,19108.25,382165.0
TXN-05-0288,2026-05-07,HP E24 G5 Monitor,10,22047.41,220474.1
TXN-05-0289,2026-05-08,Jabra Evolve2 40 Headset,11,11997.86,131976.46
TXN-05-0290,2026-05-08,Logitech K380 Keyboard,13,3151.91,40974.83
TXN-05-0291,2026-05-21,SanDisk Extreme Portable SSD 1TB,18,10366.22,186591.96
TXN-05-0292,2026-05-18,Belkin USB-C 7-in-1 Hub,10,6820.29,68202.9
TXN-05-0293,2026-05-13,TP-Link UE300 Ethernet Adapter,9,1177.08,10593.72
TXN-05-0294,2026-05-08,Microsoft LifeCam HD-3000,6,3502.64,21015.84
TXN-05-0295,2026-05-24,Logitech MX Master 3S,20,9349.73,186994.6
TXN-05-0296,2026-05-06,Kingston DataTraveler 64GB,14,713.27,9985.78
TXN-05-0297,2026-05-15,Dell P2425H Monitor,13,19309.9,251028.7
TXN-05-0298,2026-05-20,Logitech MX Master 3S,10,9255.9,92559.0
TXN-05-0299,2026-05-17,Belkin USB-C 7-in-1 Hub,11,6547.17,72018.87
TXN-05-0300,2026-05-08,Jabra Evolve2 40 Headset,18,13071.69,235290.42
TXN-05-0301,2026-05-10,TP-Link UE300 Ethernet Adapter,20,1199.87,23997.4
TXN-05-0302,2026-05-25,SanDisk Extreme Portable SSD 1TB,13,10531.45,136908.85
TXN-05-0303,2026-05-14,Logitech MX Master 3S,17,8922.61,151684.37
TXN-05-0304,2026-05-29,Belkin USB-C 7-in-1 Hub,12,6775.19,81302.28
TXN-05-0305,2026-05-18,HP E24 G5 Monitor,19,21184.03,402496.57
TXN-05-0306,2026-05-04,Logitech MX Master 3S,8,8691.56,69532.48
TXN-05-0307,2026-05-20,Microsoft LifeCam HD-3000,13,3487.61,45338.93
TXN-05-0308,2026-05-14,Dell P2425H Monitor,17,18291.12,310949.04
TXN-05-0309,2026-05-18,Logitech MX Master 3S,3,9519.33,28557.99
TXN-05-0310,2026-05-07,Logitech K380 Keyboard,13,3149.8,40947.4
TXN-05-0311,2026-05-12,Belkin USB-C 7-in-1 Hub,17,6883.91,117026.47
TXN-05-0312,2026-05-14,Logitech K380 Keyboard,8,3228.22,25825.76
TXN-05-0313,2026-05-04,Logitech MX Master 3S,3,9281.67,27845.01
TXN-05-0314,2026-05-15,Dell P2425H Monitor,14,18086.01,253204.14
TXN-05-0315,2026-05-27,Logitech K380 Keyboard,7,3447.13,24129.91
TXN-05-0316,2026-05-28,TP-Link UE300 Ethernet Adapter,16,1176.11,18817.76
TXN-05-0317,2026-05-04,Dell P2425H Monitor,3,18648.88,55946.64
TXN-05-0318,2026-05-15,Dell P2425H Monitor,15,20026.09,300391.35
TXN-05-0319,2026-05-30,Logitech K380 Keyboard,18,3416.05,61488.9
